"City","State","Lon","Lat","Merged"
"Huntsville","AL",-86.5861037,34.7303688,"Huntsville, AL"
"Little Rock","AR",-92.2895948,34.7464809,"Little Rock, AR"
"Mesa","AZ",-111.8314724,33.4151843,"Mesa, AZ"
"Tucson","AZ",-110.9747108,32.2226066,"Tucson, AZ"
"Arcata","CA",-124.0828396,40.8665166,"Arcata, CA"
"Año Nuevo","CA",-122.33451,37.19832,"Año Nuevo, CA"
"Bakersfield","CA",-119.0187125,35.3732921,"Bakersfield, CA"
"Bangor","CA",-121.4052,39.3885,"Bangor, CA"
"Bodega Bay","CA",-123.0480571,38.33325,"Bodega Bay, CA"
"Camp Roberts","CA",-120.743698,35.7990283,"Camp Roberts, CA"
"Chico","CA",-121.8374777,39.7284944,"Chico, CA"
"Clearlake","CA",-122.6263728,38.9582307,"Clearlake, CA"
"Coloma","CA",-120.890216,38.7999014,"Coloma, CA"
"Concord","CA",-122.0335624,37.9768525,"Concord, CA"
"Corcoran","CA",-119.5604015,36.098007,"Corcoran, CA"
"Crescent City","CA",-124.2025913,41.7557501,"Crescent City, CA"
"Crockett","CA",-122.2130236,38.0524208,"Crockett, CA"
"Death Valley","CA",-116.9325408,36.5322649,"Death Valley, CA"
"Donner Lake","CA",-120.2642533,39.3219375,"Donner Lake, CA"
"Duncans Mills","CA",-123.0550013,38.453803,"Duncans Mills, CA"
"Fort Bragg","CA",-123.8052935,39.445723,"Fort Bragg, CA"
"Fremont","CA",-121.9885719,37.5482697,"Fremont, CA"
"Frog Woman Rock","CA",-123.0561124,38.9124014,"Frog Woman Rock, CA"
"Geyserville","CA",-122.9027647,38.7074755,"Geyserville, CA"
"Graeagle","CA",-120.6185519,39.7662874,"Graeagle, CA"
"Greyhound Rock","CA",-122.2678128,37.0778748,"Greyhound Rock, CA"
"Guerneville","CA",-122.9961102,38.5018575,"Guerneville, CA"
"Half Moon Bay","CA",-122.4285862,37.4635519,"Half Moon Bay, CA"
"Isleton","CA",-121.6116206,38.1618614,"Isleton, CA"
"Jenner","CA",-123.115556,38.449722,"Jenner, CA"
"Joshua Tree","CA",-116.3130661,34.134728,"Joshua Tree, CA"
"La Honda","CA",-122.274227,37.3190255,"La Honda, CA"
"Lake Lodoga","CA",-122.5118148,39.3517804,"Lake Lodoga, CA"
"Lake Tahoe","CA",-120.0323507,39.0968493,"Lake Tahoe, CA"
"Lee Vining","CA",-119.119943,37.957592,"Lee Vining, CA"
"Los Angeles","CA",-118.2436849,34.0522342,"Los Angeles, CA"
"Modesto","CA",-120.9968782,37.6390972,"Modesto, CA"
"Monterey","CA",-121.8946761,36.6002378,"Monterey, CA"
"Morro Bay","CA",-120.8499924,35.3659445,"Morro Bay, CA"
"Mount Shasta","CA",-122.194888,41.409196,"Mount Shasta, CA"
"Occidental","CA",-122.9477131,38.4076501,"Occidental, CA"
"Oroville","CA",-121.556359,39.5137752,"Oroville, CA"
"Oxnard","CA",-119.1770516,34.1975048,"Oxnard, CA"
"Palm Desert","CA",-116.3693698,33.74079965,"Palm Desert, CA"
"Palm Springs","CA",-116.5452921,33.8302961,"Palm Springs, CA"
"Petaluma","CA",-122.6366524,38.232417,"Petaluma, CA"
"Placerville","CA",-120.798546,38.7296252,"Placerville, CA"
"Point Lobos","CA",-121.9422821,36.5159123,"Point Lobos, CA"
"Redding","CA",-122.3916754,40.5865396,"Redding, CA"
"Richmond","CA",-122.347748,37.9357576,"Richmond, CA"
"Sacramento","CA",-121.4943996,38.5815719,"Sacramento, CA"
"Salinas","CA",-121.6555013,36.6777372,"Salinas, CA"
"San Diego","CA",-117.1610838,32.715738,"San Diego, CA"
"San Francisco","CA",-122.419906,37.7790262,"San Francisco, CA"
"San Luis Obispo","CA",-120.6596156,35.2827524,"San Luis Obispo, CA"
"San Simeon","CA",-121.1893211,35.6440143,"San Simeon, CA"
"Sebastopol","CA",-122.8238806,38.4021359,"Sebastopol, CA"
"Somerset","CA",-120.685833,38.647778,"Somerset, CA"
"South Lake Tahoe","CA",-119.9843482,38.9332411,"South Lake Tahoe, CA"
"Stockton","CA",-121.2907796,37.9577016,"Stockton, CA"
"Timber Cove","CA",-123.2711192,38.5296352,"Timber Cove, CA"
"Walnut Grove","CA",-121.5116197,38.2421371,"Walnut Grove, CA"
"Yosemite","CA",-119.5383294,37.8651011,"Yosemite, CA"
"Bridgeport","CT",-73.1894384,41.1792258,"Bridgeport, CT"
"Hartford","CT",-72.6733723,41.7658043,"Hartford, CT"
"Sleeping Giant","CT",-72.8992361,41.4209689,"Sleeping Giant, CT"
"Washington","DC",-77.0368707,38.9071923,"Washington, DC"
"Newark","DE",-75.7496572,39.6837226,"Newark, DE"
"Gainesville","FL",-82.3248262,29.6516344,"Gainesville, FL"
"Islamorada","FL",-80.6278364,24.9242943,"Islamorada, FL"
"Marathon","FL",-81.0446262,24.726026,"Marathon, FL"
"Pensacola","FL",-87.2169149,30.421309,"Pensacola, FL"
"Tallahassee","FL",-84.2807329,30.4382559,"Tallahassee, FL"
"Atlanta","GA",-84.3879824,33.7489954,"Atlanta, GA"
"Hana","HI",-155.990752,20.7671042,"Hana, HI"
"Kaanapali","HI",-156.6834288,20.933395,"Kaanapali, HI"
"Kihei","HI",-156.4463997,20.763395,"Kihei, HI"
"Lahaina","HI",-156.6762729,20.872684,"Lahaina, HI"
"Maluaka","HI",-156.4427305,20.6467756,"Maluaka, HI"
"Molokini","HI",-156.4938428,20.63223965,"Molokini, HI"
"Iowa City","IA",-91.5301683,41.6611277,"Iowa City, IA"
"Carbondale","IL",-89.2167501,37.7272727,"Carbondale, IL"
"Chicago","IL",-87.6297982,41.8781136,"Chicago, IL"
"Naperville","IL",-88.1535352,41.7508391,"Naperville, IL"
"Bloomington","IN",-86.5263857,39.165325,"Bloomington, IN"
"Louisville","KY",-85.7584557,38.2526647,"Louisville, KY"
"New Orleans","LA",-90.0715323,29.9510658,"New Orleans, LA"
"Amherst","MA",-72.5198537,42.3732216,"Amherst, MA"
"Boston","MA",-71.0588801,42.3600825,"Boston, MA"
"Montague","MA",-72.535088,42.5356426,"Montague, MA"
"North Falmouth","MA",-70.630494,41.6445703,"North Falmouth, MA"
"Northampton","MA",-72.6412013,42.3250896,"Northampton, MA"
"Baltimore","MD",-76.6121893,39.2903848,"Baltimore, MD"
"Detroit","MI",-83.0457538,42.331427,"Detroit, MI"
"Kalamazoo","MI",-85.5872286,42.2917069,"Kalamazoo, MI"
"Minneapolis","MN",-93.2650108,44.977753,"Minneapolis, MN"
"St. Louis","MO",-90.1994042,38.6270025,"St. Louis, MO"
"Missoula","MT",-113.9940314,46.8721284,"Missoula, MT"
"Asheville","NC",-82.5514869,35.5950581,"Asheville, NC"
"Keene","NH",-72.2781409,42.933692,"Keene, NH"
"Jersey City","NJ",-74.0776417,40.7281575,"Jersey City, NJ"
"Princeton","NJ",-74.6672226,40.3572976,"Princeton, NJ"
"Albuquerque","NM",-106.650422,35.0843859,"Albuquerque, NM"
"Chimayo","NM",-105.9468664,36.0039088,"Chimayo, NM"
"Santa Fe","NM",-105.9384569,35.6876096,"Santa Fe, NM"
"Taos","NM",-105.5732847,36.4072377,"Taos, NM"
"Las Vegas","NV",-115.1398296,36.1699412,"Las Vegas, NV"
"Reno","NV",-119.8138027,39.5296329,"Reno, NV"
"Sparks","NV",-119.7526886,39.5349112,"Sparks, NV"
"Albany","NY",-73.7562317,42.6525793,"Albany, NY"
"Sleepy Hollow","NY",-73.8584684,41.085652,"Sleepy Hollow, NY"
"Columbus","OH",-82.9987942,39.9611755,"Columbus, OH"
"Portland","OR",-122.6587185,45.5122308,"Portland, OR"
"Philadelphia","PA",-75.1652215,39.9525839,"Philadelphia, PA"
"Wilkes-Barre","PA",-75.8813075,41.2459149,"Wilkes-Barre, PA"
"Providence","RI",-71.4128343,41.8239891,"Providence, RI"
"Chattanooga","TN",-85.3096801,35.0456297,"Chattanooga, TN"
"Knoxville","TN",-83.9207392,35.9606384,"Knoxville, TN"
"Amarillo","TX",-101.8312969,35.2219971,"Amarillo, TX"
"Austin","TX",-97.7430608,30.267153,"Austin, TX"
"El Paso","TX",-106.4850217,31.7618778,"El Paso, TX"
"Salt Lake City","UT",-111.8910474,40.7607793,"Salt Lake City, UT"
"Richmond","VA",-77.4360481,37.5407246,"Richmond, VA"
"Brattleboro","VT",-72.5578678,42.8509152,"Brattleboro, VT"
"Hardwick","VT",-72.3486802,44.5416243,"Hardwick, VT"
"Seattle","WA",-122.3300624,47.6038321,"Seattle, WA"
"Appleton","WI",-88.4153847,44.2619309,"Appleton, WI"
"Milwaukee","WI",-87.9064736,43.0389025,"Milwaukee, WI"
